address,name,chainId
0xAce1d11d836cb3F51Ef658FD4D353fFb3c301218,AaveGovernanceV2 ARC_TIMELOCK,1
0xd1B3E25fD7C8AE7CADDC6F71b461b79CD4ddcFa3,AaveGovernanceV2 CROSSCHAIN_FORWARDER_ARBITRUM,1
0x3215225538da1546FE0DA88ee13019f402078942,AaveGovernanceV2 CROSSCHAIN_FORWARDER_BASE,1
0x2fE52eF191F0BE1D98459BdaD2F1d3160336C08f,AaveGovernanceV2 CROSSCHAIN_FORWARDER_METIS,1
0x5f5C02875a8e9B5A26fbd09040ABCfDeb2AA6711,AaveGovernanceV2 CROSSCHAIN_FORWARDER_OPTIMISM,1
0x158a6bC04F0828318821baE797f50B0A1299d45b,AaveGovernanceV2 CROSSCHAIN_FORWARDER_POLYGON,1
0x79426A1c24B2978D90d7A5070a46C65B07bC4299,AaveGovernanceV2 LONG_EXECUTOR,1
0xEE56e2B3D491590B5b31738cC34d5232F378a8D5,AaveGovernanceV2 SHORT_EXECUTOR,1
0x4da27a545c0c5B758a6BA100e3a049001de870f5,AaveSafetyModule STK_AAVE,1
0x9eDA81C21C273a82BE9Bbc19B6A6182212068101,AaveSafetyModule STK_AAVE_WSTETH_BPTV2,1
0xADf86b537eF08591c2777E144322E8b0Ca7E82a7,AaveSafetyModule STK_AAVE_WSTETH_BPTV2_ORACLE,1
0xa1116930326D21fB917d5A27F1E9943A9595fb47,AaveSafetyModule STK_ABPT,1
0x209Ad99bd808221293d03827B86cC544bcA0023b,AaveSafetyModule STK_ABPT_ORACLE,1
0xecD4bd3121F9FD604ffaC631bF6d41ec12f1fafb,AaveSafetyModule STK_ABPT_STK_AAVE_WSTETH_BPTV2_MIGRATOR,1
0x1a88Df1cFe15Af22B3c4c783D4e6F7F9e0C1885d,AaveSafetyModule STK_GHO,1
0x24a42fD28C976A61Df5D00D0599C34c4f90748c8,AaveV1 ADDRESSES_PROVIDER,1
0x3dfd23A6c5E8BbcFc9581d2E864a68feb6a076d3,AaveV1 CORE,1
0x398eC7346DcD622eDc5ae82352F02bE94C62d119,AaveV1 POOL,1
0x057835Ad21a177dbdd3090bB1CAE03EaCF78Fc6d,AaveV2Ethereum AAVE_PROTOCOL_DATA_PROVIDER,1
0xdAC17F958D2ee523a2206206994597C13D831ec7,AaveV2Ethereum ASSETS USDT UNDERLYING,1
0x3Ed3B47Dd13EC9a98b44e6204A523E766B225811,AaveV2Ethereum ASSETS USDT A_TOKEN,1
0x531842cEbbdD378f8ee36D171d6cC9C4fcf475Ec,AaveV2Ethereum ASSETS USDT V_TOKEN,1
0xe85dA2C9D406afe7A37F525b5CAbEDA42944dB6f,AaveV2Ethereum ASSETS USDT INTEREST_RATE_STRATEGY,1
0xCB45B5c861a6468145b1720A620C38f55f736B74,AaveV2Ethereum ASSETS USDT ORACLE,1
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,AaveV2Ethereum ASSETS WBTC UNDERLYING,1
0x9ff58f4fFB29fA2266Ab25e75e2A8b3503311656,AaveV2Ethereum ASSETS WBTC A_TOKEN,1
0x9c39809Dec7F95F5e0713634a4D0701329B3b4d2,AaveV2Ethereum ASSETS WBTC V_TOKEN,1
0x32f3A6134590fc2d9440663d35a2F0a6265F04c4,AaveV2Ethereum ASSETS WBTC INTEREST_RATE_STRATEGY,1
0xFD858c8bC5ac5e10f01018bC78471bb0DC392247,AaveV2Ethereum ASSETS WBTC ORACLE,1
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,AaveV2Ethereum ASSETS WETH UNDERLYING,1
0x030bA81f1c18d280636F32af80b9AAd02Cf0854e,AaveV2Ethereum ASSETS WETH A_TOKEN,1
0xF63B34710400CAd3e044cFfDcAb00a0f32E33eCf,AaveV2Ethereum ASSETS WETH V_TOKEN,1
0xb8975328Aa52c00B9Ec1e11e518C4900f2e6C62a,AaveV2Ethereum ASSETS WETH INTEREST_RATE_STRATEGY,1
0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,AaveV2Ethereum ASSETS YFI UNDERLYING,1
0x5165d24277cD063F5ac44Efd447B27025e888f37,AaveV2Ethereum ASSETS YFI A_TOKEN,1
0x7EbD09022Be45AD993BAA1CEc61166Fcc8644d97,AaveV2Ethereum ASSETS YFI V_TOKEN,1
0x2c206fa2127aB7f1CE3dc987daf683Ed5B9CF069,AaveV2Ethereum ASSETS YFI INTEREST_RATE_STRATEGY,1
0x7c5d4F8345e66f68099581Db340cd65B078C41f4,AaveV2Ethereum ASSETS YFI ORACLE,1
0xE41d2489571d322189246DaFA5ebDe1F4699F498,AaveV2Ethereum ASSETS ZRX UNDERLYING,1
